RENT_DATE,RENT_TIME,RENT_ID,CNT
20211201,19,03311,3
20211201,2,02129,1
20211201,2,02130,1
20211201,2,02191,2
20211201,2,02198,1
20211201,20,02112,2
20211201,20,02116,3
20211201,20,02128,2
20211201,20,02130,4
20211201,20,02159,1
20211201,20,02171,3
20211201,20,02179,3
20211201,20,02185,2
20211201,20,02191,1
20211201,20,02198,1
20211201,20,03311,3
20211201,21,02112,2
20211201,21,02116,2
20211201,21,02122,1
20211201,21,02128,2
20211201,21,02139,1
20211201,21,02148,2
20211201,21,02171,2
20211201,21,02172,2
20211201,21,02179,1
20211201,21,02191,2
20211201,22,02112,2
20211201,22,02116,3
20211201,22,02122,1
20211201,22,02128,1
20211201,22,02129,1
20211201,22,02171,1
20211201,22,02191,1
20211201,22,03802,1
20211201,23,02111,1
20211201,23,02112,1
20211201,23,02116,2
20211201,23,02148,2
20211201,23,02179,1
20211201,3,02111,1
20211201,3,02130,1
20211201,3,02191,1
20211201,3,02198,1
20211201,5,02130,1
20211201,5,02159,1
20211201,5,02185,1
20211201,6,02179,1
20211201,6,02198,1
20211201,7,02112,2
20211201,7,02130,1
20211201,7,02139,1
20211201,7,02159,1
20211201,7,02171,1
20211201,7,02185,2
20211201,7,02186,1
20211201,7,02191,1
20211201,8,02111,1
20211201,8,02112,4
20211201,8,02122,1
20211201,8,02139,1
20211201,8,02148,1
20211201,8,02178,1
20211201,8,02179,1
20211201,8,02185,1
20211201,8,02191,5
20211201,8,02198,1
20211201,9,02111,2
20211201,9,02129,1
20211201,9,02148,1
20211201,9,02159,1
20211201,9,02179,1
20211201,9,02186,1
20211201,9,03311,2
20211202,0,02111,2
20211202,0,02112,3
20211202,0,02116,3
20211202,0,02128,2
20211202,0,02129,1
20211202,0,02148,1
20211202,0,02171,2
20211202,0,02172,1
20211202,0,02186,1
20211202,0,02198,2
20211202,0,03311,1
20211202,1,02111,2
20211202,1,02112,1
20211202,1,02116,1
20211202,1,02122,2
20211202,1,02128,2
20211202,1,02139,1
20211202,1,02159,2
20211202,1,02179,1
20211202,1,02186,1
20211202,1,02198,1
20211202,1,02199,1
20211202,10,02111,1
20211202,10,02112,1
20211202,10,02128,1
20211202,10,02139,1
20211202,10,02159,1
20211202,10,02171,1
20211202,10,02178,1
20211202,10,02185,1
20211202,10,03311,2
20211202,11,02111,1
20211202,11,02112,3
20211202,11,02128,1
20211202,11,02130,1
20211202,11,02139,2
20211202,11,02171,1
20211202,11,02172,1
20211202,11,02185,1
20211202,11,02191,1
20211202,11,03802,1
20211202,12,02111,3
20211202,12,02112,1
20211202,12,02116,3
20211202,12,02122,2
20211202,12,02128,2
20211202,12,02129,1
20211202,12,02139,3
20211202,12,02171,2
20211202,12,02178,1
20211202,12,02179,1
20211202,12,02191,1
20211202,12,02198,1
20211202,13,02111,2
20211202,13,02112,3
20211202,13,02128,2
20211202,13,02129,1
20211202,13,02139,4
20211202,13,02159,1
20211202,13,02171,3
20211202,13,02172,3
20211202,13,02179,2
20211202,13,02185,1
20211202,13,02191,2
20211202,13,02198,1
20211202,13,02199,2
20211202,13,03311,1
20211202,14,02111,1
20211202,14,02171,1
20211202,14,02191,2
20211202,14,02198,1
20211202,14,03311,3
20211202,15,02112,1
20211202,15,02116,1
20211202,15,02128,2
20211202,15,02159,1
20211202,15,02171,1
20211202,15,02191,2
20211202,16,02111,1
20211202,16,02116,1
20211202,16,02128,1
20211202,16,02171,1
20211202,16,02179,1
20211202,16,02185,1
20211202,16,02186,1
20211202,16,02191,2
20211202,16,03311,1
20211202,17,02111,1
20211202,17,02112,2
20211202,17,02116,3
20211202,17,02122,3
20211202,17,02128,1
20211202,17,02148,1
20211202,17,02159,1
20211202,17,02171,1
20211202,17,02172,1
20211202,17,02178,3
20211202,17,02179,1
20211202,17,02191,3
20211202,17,03311,1
20211202,17,03802,1
20211202,18,02111,2
20211202,18,02112,5
20211202,18,02116,3
20211202,18,02128,3
20211202,18,02129,1
20211202,18,02148,1
20211202,18,02159,1
20211202,18,02171,4
20211202,18,02178,1
20211202,18,02179,2
20211202,18,02185,1
20211202,18,02186,2
20211202,18,02191,2
20211202,18,02199,1
20211202,18,03311,4
20211202,19,02111,2
20211202,19,02112,1
20211202,19,02116,3
20211202,19,02129,1
20211202,19,02139,1
20211202,19,02148,2
20211202,19,02171,2
20211202,19,02179,4
20211202,19,02191,1
20211202,19,02198,1
20211202,19,03311,2
20211202,2,02122,2
20211202,2,02129,1
20211202,2,02171,2
20211202,2,02186,1
20211202,20,02116,1
20211202,20,02171,1
20211202,20,02178,2
20211202,20,02179,1
20211202,20,02198,1
20211202,21,02111,1
20211202,21,02112,1
20211202,21,02116,1
20211202,21,02128,1
20211202,21,02143,2
20211202,21,02178,1
20211202,21,02179,2
20211202,21,02186,1
20211202,21,02191,1
20211202,21,03311,1
20211202,22,02111,1
20211202,22,02116,3
20211202,22,02122,1
20211202,22,02139,1
20211202,22,02159,1
20211202,22,02178,1
20211202,22,02179,2
20211202,22,02185,1
20211202,22,02191,1
20211202,22,02198,1
20211202,22,02199,1
20211202,22,03311,1
20211202,23,02111,1
20211202,23,02112,1
20211202,23,02116,1
20211202,23,02143,1
20211202,23,02148,2
20211202,23,02171,1
20211202,23,02179,1
20211202,23,02191,1
20211202,3,02111,1
20211202,3,02122,1
20211202,3,02171,1
20211202,3,02198,1
20211202,3,03311,1
20211202,4,02198,1
20211202,5,02159,1
20211202,5,02185,1
20211202,6,02139,1
20211202,6,02159,1
20211202,7,02112,1
20211202,7,02139,1
20211202,7,02143,1
20211202,7,02148,1
20211202,7,02159,1
20211202,7,02171,1
20211202,7,02178,1
20211202,7,02185,2
20211202,7,02186,2
20211202,7,02191,3
20211202,8,02112,4
20211202,8,02116,1
20211202,8,02122,1
20211202,8,02143,1
20211202,8,02171,1
20211202,8,02179,1
20211202,8,02186,1
20211202,8,02191,2
20211202,8,02199,1
20211202,9,02111,1
20211202,9,02122,1
20211202,9,02129,1
20211202,9,02139,2
20211202,9,02148,1
20211202,9,02171,2
20211202,9,02178,1
20211202,9,02185,2
20211203,0,02111,3
20211203,0,02112,7
20211203,0,02116,1
20211203,0,02128,2
20211203,0,02129,2
20211203,0,02171,2
20211203,0,02178,1
20211203,0,02179,2
20211203,0,02198,1
20211203,0,03311,4
20211203,1,02112,2
20211203,1,02116,1
20211203,1,02122,1
20211203,1,02128,1
20211203,1,02139,2
20211203,1,02148,1
20211203,1,02171,3
20211203,1,02198,1
20211203,1,03311,1
20211203,10,02111,1
20211203,10,02112,1
20211203,10,02139,1
20211203,10,02148,1
20211203,10,02159,4
20211203,10,02171,1
20211203,10,02172,1
20211203,10,02179,2
20211203,10,02185,1
20211203,10,02191,1
20211203,10,03311,4
20211203,11,02112,1
20211203,11,02122,2
20211203,11,02128,1
20211203,11,02139,1
20211203,11,02148,2
20211203,11,02171,2
20211203,11,02172,1
20211203,11,02178,2
20211203,11,02179,2
20211203,11,02191,1
20211203,11,03310,2
20211203,11,03311,1
20211203,12,02112,1
20211203,12,02116,1
20211203,12,02122,1
20211203,12,02139,1
20211203,12,02148,1
20211203,12,02171,3
20211203,12,02179,1
20211203,12,02186,1
20211203,12,02191,3
20211203,12,02198,1
20211203,12,03310,1
20211203,13,02111,1
20211203,13,02116,1
20211203,13,02122,3
20211203,13,02128,2
20211203,13,02143,1
20211203,13,02148,1
20211203,13,02159,1
20211203,13,02171,2
20211203,13,02178,5
20211203,13,02179,1
20211203,13,02186,2
20211203,13,02191,2
20211203,13,02198,2
20211203,13,03311,3
20211203,14,02122,1
20211203,14,02128,1
20211203,14,02129,1
20211203,14,02148,1
20211203,14,02171,2
20211203,14,02178,1
20211203,14,02179,1
20211203,14,03310,1
20211203,14,03311,2
20211203,15,02112,1
20211203,15,02122,2
20211203,15,02128,1
20211203,15,02143,1
20211203,15,02159,1
20211203,15,02171,1
20211203,15,02172,3
20211203,15,02178,1
20211203,15,02179,2
20211203,15,02186,1
20211203,15,02191,1
20211203,15,02198,1
20211203,15,03311,1
20211203,16,02128,2
20211203,16,02129,1
20211203,16,02130,1
20211203,16,02148,1
20211203,16,02171,3
20211203,16,02185,1
20211203,16,02186,1
20211203,16,02191,5
20211203,16,02198,1
20211203,16,03310,4
20211203,16,03311,2
20211203,16,03802,1
20211203,17,02111,1
20211203,17,02112,1
20211203,17,02116,1
20211203,17,02122,2
20211203,17,02129,1
20211203,17,02139,1
20211203,17,02143,1
20211203,17,02148,1
20211203,17,02171,4
20211203,17,02172,1
20211203,17,02178,3
20211203,17,02179,2
20211203,17,02186,2
20211203,17,02191,1
20211203,17,02198,2
20211203,17,03310,2
20211203,17,03311,1
20211203,18,02111,5
20211203,18,02122,3
20211203,18,02128,3
20211203,18,02129,1
20211203,18,02130,1
20211203,18,02159,1
20211203,18,02171,4
20211203,18,02179,1
20211203,18,02185,2
20211203,18,02186,1
20211203,18,02198,1
20211203,18,02199,1
20211203,18,03310,3
20211203,18,03311,3
20211203,19,02111,3
20211203,19,02112,3
20211203,19,02128,3
20211203,19,02129,1
20211203,19,02148,1
20211203,19,02171,6
20211203,19,02178,2
20211203,19,02179,2
20211203,19,02185,2
20211203,19,02186,2
20211203,19,02198,1
20211203,19,03311,1
20211203,2,02199,1
20211203,20,02112,1
20211203,20,02116,4
20211203,20,02122,2
20211203,20,02128,2
20211203,20,02129,1
20211203,20,02130,1
20211203,20,02139,1
20211203,20,02143,1
20211203,20,02148,1
20211203,20,02159,1
20211203,20,02171,2
20211203,20,02179,3
20211203,20,02198,2
20211203,21,02111,1
20211203,21,02122,1
20211203,21,02128,1
20211203,21,02130,1
20211203,21,02148,3
20211203,21,02159,1
20211203,21,02171,1
20211203,21,02178,1
20211203,21,02179,2
20211203,21,02191,2
20211203,22,02111,2
20211203,22,02112,3
20211203,22,02116,2
20211203,22,02122,1
20211203,22,02139,1
20211203,22,02148,2
20211203,22,02172,1
20211203,22,02178,1
20211203,22,02179,1
20211203,22,02185,1
20211203,22,02186,2
20211203,22,02191,1
20211203,23,02111,1
20211203,23,02112,1
20211203,23,02128,1
20211203,23,02143,1
20211203,23,02171,1
20211203,23,02179,2
20211203,23,02186,1
20211203,23,02198,1
20211203,3,02185,1
20211203,3,02186,1
20211203,4,02171,1
20211203,5,02159,2
20211203,6,02129,1
20211203,6,02139,1
20211203,6,02171,1
20211203,6,02179,1
20211203,6,03310,1
20211203,7,02139,1
20211203,7,02171,1
20211203,7,02185,2
20211203,7,02186,1
20211203,7,02191,2
20211203,8,02111,1
20211203,8,02112,2
20211203,8,02129,1
20211203,8,02139,1
20211203,8,02143,1
20211203,8,02148,2
20211203,8,02179,1
20211203,8,02186,1
20211203,8,02191,3
20211203,8,02198,1
20211203,8,03310,2
20211203,9,02111,2
20211203,9,02112,1
20211203,9,02148,1
20211203,9,02171,1
20211203,9,02178,1
20211203,9,03310,2
20211203,9,03311,1
20211204,0,02111,2
20211204,0,02112,3
20211204,0,02116,2
20211204,0,02122,1
20211204,0,02128,3
20211204,0,02148,2
20211204,0,02171,4
20211204,0,02179,1
20211204,0,02186,1
20211204,0,02191,1
20211204,0,02198,1
20211204,0,03310,1
20211204,0,03311,1
20211204,1,02112,1
20211204,1,02116,1
20211204,1,02122,1
20211204,1,02179,1
20211204,10,02112,2
20211204,10,02116,1
20211204,10,02122,1
20211204,10,02128,2
20211204,10,02129,1
20211204,10,02130,1
20211204,10,02139,1
20211204,10,02159,2
20211204,10,02172,2
20211204,10,02185,1
20211204,10,02198,1
20211204,10,03311,1
20211204,11,02112,1
20211204,11,02116,1
20211204,11,02122,1
20211204,11,02130,2
20211204,11,02139,1
20211204,11,02143,6
20211204,11,02148,3
20211204,11,02178,1
20211204,11,02179,5
20211204,11,02185,2
20211204,11,02191,2
20211204,11,02198,1
20211204,12,02111,2
20211204,12,02128,2
20211204,12,02139,1
20211204,12,02143,1
20211204,12,02148,3
20211204,12,02159,3
20211204,12,02171,3
20211204,12,02172,3
20211204,12,02178,3
20211204,12,02179,1
20211204,12,02191,1
20211204,12,02198,1
20211204,12,03311,2
20211204,13,02111,2
20211204,13,02116,2
20211204,13,02122,1
20211204,13,02128,1
20211204,13,02130,1
20211204,13,02143,1
20211204,13,02148,2
20211204,13,02159,1
20211204,13,02171,1
20211204,13,02179,3
20211204,13,02185,1
20211204,13,02186,1
20211204,13,02191,1
20211204,13,03310,1
20211204,13,03311,1
20211204,13,03802,1
20211204,14,02122,3
20211204,14,02128,1
20211204,14,02130,1
20211204,14,02139,3
20211204,14,02143,2
20211204,14,02148,1
20211204,14,02159,1
20211204,14,02171,3
20211204,14,02178,3
20211204,14,02179,1
20211204,14,02185,2
20211204,14,02191,1
20211204,14,02198,1
20211204,14,02199,1
20211204,14,03311,1
20211204,15,02112,1
20211204,15,02116,2
20211204,15,02128,1
20211204,15,02143,1
20211204,15,02148,1
20211204,15,02171,2
20211204,15,02178,1
20211204,15,02179,1
20211204,15,02185,2
20211204,15,02191,1
20211204,15,02198,1
20211204,15,03311,1
20211204,16,02111,1
20211204,16,02112,1
20211204,16,02116,1
20211204,16,02122,1
20211204,16,02128,5
20211204,16,02129,1
20211204,16,02130,1
20211204,16,02148,1
20211204,16,02171,3
20211204,16,02172,1
20211204,16,02178,3
20211204,16,02179,6
20211204,16,02185,1
20211204,16,02186,1
20211204,16,02191,2
20211204,16,02198,1
20211204,16,03311,2
20211204,16,03802,1
20211204,17,02111,2
20211204,17,02112,1
20211204,17,02116,1
20211204,17,02122,1
20211204,17,02130,2
20211204,17,02139,1
20211204,17,02143,2
20211204,17,02148,1
20211204,17,02171,4
20211204,17,02185,2
20211204,17,02186,1
20211204,17,02191,3
20211204,17,02198,1
20211204,17,02199,1
20211204,17,03311,2
20211204,18,02111,3
20211204,18,02112,1
20211204,18,02116,2
20211204,18,02130,1
20211204,18,02139,2
20211204,18,02143,1
20211204,18,02148,1
20211204,18,02171,3
20211204,18,02178,2
20211204,18,02179,1
20211204,18,02186,1
20211204,18,03311,1
20211204,19,02111,1
20211204,19,02112,2
20211204,19,02116,3
20211204,19,02128,3
20211204,19,02130,1
20211204,19,02148,1
20211204,19,02171,2
20211204,19,02179,2
20211204,19,02186,1
20211204,19,02198,4
20211204,19,02199,1
20211204,19,03311,1
20211204,2,02111,6
20211204,2,02112,3
20211204,2,02178,1
20211204,20,02111,1
20211204,20,02112,2
20211204,20,02116,1
20211204,20,02122,1
20211204,20,02129,1
20211204,20,02143,1
20211204,20,02171,3
20211204,20,02178,1
20211204,20,02179,1
20211204,20,02191,1
20211204,20,02198,2
20211204,21,02112,1
20211204,21,02122,1
20211204,21,02130,1
20211204,21,02139,1
20211204,21,02143,2
20211204,21,02148,2
20211204,21,02171,2
20211204,21,02179,2
20211204,21,02185,3
20211204,21,02186,1
20211204,21,02191,2
20211204,21,02198,1
20211204,22,02111,2
20211204,22,02112,2
20211204,22,02116,1
20211204,22,02129,1
20211204,22,02139,2
20211204,22,02171,1
20211204,22,02178,1
20211204,22,02185,1
20211204,22,02186,2
20211204,22,02191,3
20211204,22,02198,3
20211204,22,03311,2
20211204,23,02111,2
20211204,23,02112,1
20211204,23,02179,1
20211204,23,02186,1
20211204,23,02191,2
20211204,23,02198,1
20211204,23,03310,1
20211204,3,02122,1
20211204,3,02128,1
20211204,3,02129,1
20211204,3,02148,1
20211204,3,02178,1
20211204,3,02179,2
20211204,4,02148,1
20211204,4,02179,1
20211204,4,02186,1
20211204,5,02178,1
20211204,5,02191,1
20211204,7,02122,1
20211204,7,02159,1
20211204,8,02112,1
20211204,8,02159,1
20211204,8,02178,1
20211204,8,02185,2
20211204,8,02186,1
20211204,8,02191,2
20211204,8,03310,1
20211204,9,02111,2
20211204,9,02112,1
20211204,9,02122,1
20211204,9,02128,4
20211204,9,02130,1
20211204,9,02139,1
20211204,9,02143,1
20211204,9,02159,1
20211204,9,02178,1
20211204,9,02179,1
20211204,9,02185,2
20211204,9,02186,1
20211204,9,02198,1
20211205,0,02112,5
20211205,0,02130,1
20211205,0,02171,6
20211205,0,02178,1
20211205,0,02179,1
20211205,0,02191,1
20211205,1,02122,1
20211205,1,02148,1
20211205,1,02171,5
20211205,1,02186,1
20211205,1,02198,1
20211205,10,02112,1
20211205,10,02122,1
20211205,10,02143,1
20211205,10,02186,1
20211205,10,02191,3
20211205,10,03311,1
20211205,10,03802,1
20211205,11,02112,2
20211205,11,02116,1
20211205,11,02122,2
20211205,11,02128,1
20211205,11,02148,1
20211205,11,02159,1
20211205,11,02171,3
20211205,11,02179,1
20211205,11,02185,1
20211205,11,02186,2
20211205,11,02191,3
20211205,11,02198,1
20211205,11,03311,2
20211205,12,02112,1
20211205,12,02122,1
20211205,12,02129,1
20211205,12,02171,1
20211205,12,02172,3
20211205,12,02178,2
20211205,12,02191,1
20211205,12,02198,2
20211205,12,03310,1
20211205,13,02111,4
20211205,13,02116,1
20211205,13,02122,1
20211205,13,02128,1
20211205,13,02130,1
20211205,13,02139,1
20211205,13,02143,2
20211205,13,02148,2
20211205,13,02159,3
20211205,13,02171,1
20211205,13,02178,1
20211205,13,02179,2
20211205,13,02185,1
20211205,13,02186,1
20211205,13,02191,3
20211205,13,03311,2
20211205,14,02112,5
20211205,14,02122,2
20211205,14,02128,1
20211205,14,02130,2
20211205,14,02139,1
20211205,14,02143,1
20211205,14,02148,4
20211205,14,02171,1
20211205,14,02178,1
20211205,14,02179,1
20211205,14,02185,2
20211205,14,02186,1
20211205,14,02191,1
20211205,14,02198,5
20211205,14,03311,3
20211205,15,02111,3
20211205,15,02112,1
20211205,15,02116,2
20211205,15,02128,3
20211205,15,02129,1
20211205,15,02148,2
20211205,15,02159,1
20211205,15,02171,3
20211205,15,02172,2
20211205,15,02178,2
20211205,15,02179,1
20211205,15,02185,1
20211205,15,02186,2
20211205,15,02191,1
20211205,15,03311,2
20211205,16,02112,4
20211205,16,02122,1
20211205,16,02128,1
20211205,16,02139,2
20211205,16,02143,1
20211205,16,02148,2
20211205,16,02171,1
20211205,16,02172,3
20211205,16,02178,1
20211205,16,02179,5
20211205,16,02185,1
20211205,16,02186,5
20211205,16,02191,2
20211205,16,02198,2
20211205,16,03310,1
20211205,16,03311,4
20211205,16,03802,3
20211205,17,02111,2
20211205,17,02112,1
20211205,17,02128,1
20211205,17,02139,1
20211205,17,02143,2
20211205,17,02148,3
20211205,17,02171,4
20211205,17,02172,1
20211205,17,02178,1
20211205,17,02179,3
20211205,17,02185,1
20211205,17,02186,3
20211205,18,02111,1
20211205,18,02112,3
20211205,18,02116,2
20211205,18,02139,1
20211205,18,02148,2
20211205,18,02171,6
20211205,18,02179,3
20211205,18,03311,1
20211205,19,02112,1
20211205,19,02122,3
20211205,19,02128,1
20211205,19,02139,1
20211205,19,02143,2
20211205,19,02171,4
20211205,19,02179,5
20211205,19,02191,2
20211205,2,02112,1
20211205,2,02171,1
20211205,2,03311,1
20211205,20,02112,3
20211205,20,02116,2
20211205,20,02128,2
20211205,20,02129,1
20211205,20,02148,1
20211205,20,02171,1
20211205,20,02178,1
20211205,20,02179,3
20211205,20,02191,2
20211205,21,02111,1
20211205,21,02112,2
20211205,21,02128,1
20211205,21,02139,1
20211205,21,02159,1
20211205,21,02171,1
20211205,21,02179,1
20211205,21,02185,1
20211205,21,02186,2
20211205,21,03311,2
20211205,22,02111,1
20211205,22,02112,2
20211205,22,02128,2
20211205,22,02179,2
20211205,22,02185,1
20211205,22,02198,2
20211205,22,03311,1
20211205,23,02111,1
20211205,23,02112,2
20211205,23,02116,1
20211205,23,02122,1
20211205,23,02148,1
20211205,23,02186,1
20211205,23,02198,1
20211205,23,02199,1
20211205,3,02111,1
20211205,3,02122,1
20211205,3,02171,2
20211205,4,02111,1
20211205,4,02128,2
20211205,4,02148,2
20211205,4,02171,2
20211205,5,02128,1
20211205,6,02122,1
20211205,7,02139,1
20211205,7,02159,1
20211205,7,02191,2
20211205,8,02143,1
20211205,8,02148,1
20211205,8,02171,1
20211205,8,02185,2
20211205,9,02111,2
20211205,9,02112,1
20211205,9,02128,1
20211205,9,02130,1
20211205,9,02172,1
20211205,9,02178,1
20211205,9,02185,1
20211205,9,02186,1
20211206,0,02112,1
20211206,0,02116,4
20211206,0,02128,1
20211206,0,02129,2
20211206,0,02185,1
20211206,0,02198,1
20211206,0,02199,1
20211206,1,02171,1
20211206,1,02172,2
20211206,1,02191,3
20211206,1,02198,2
20211206,10,02111,1
20211206,10,02122,3
20211206,10,02128,1
20211206,10,02129,2
20211206,10,02130,1
20211206,10,02139,1
20211206,10,02148,1
20211206,10,02159,1
20211206,10,02171,1
20211206,10,02172,1
20211206,10,02178,1
20211206,10,02185,1
20211206,10,02186,2
20211206,10,02191,1
20211206,10,02198,1
20211206,10,03311,1
20211206,10,03802,2
20211206,11,02111,2
20211206,11,02112,1
20211206,11,02116,1
20211206,11,02122,2
20211206,11,02128,1
20211206,11,02129,2
20211206,11,02148,1
20211206,11,02179,2
20211206,11,02185,1
20211206,11,02186,1
20211206,11,02191,3
20211206,11,03311,1
20211206,12,02111,2
20211206,12,02112,3
20211206,12,02122,3
20211206,12,02128,1
20211206,12,02129,1
20211206,12,02130,1
20211206,12,02139,3
20211206,12,02171,4
20211206,12,02178,1
20211206,12,02179,6
20211206,12,02186,1
20211206,12,02191,1
20211206,12,02198,1
20211206,13,02112,3
20211206,13,02122,1
20211206,13,02128,3
20211206,13,02139,1
20211206,13,02148,1
20211206,13,02171,1
20211206,13,02179,1
20211206,13,02191,1
20211206,13,02198,1
20211206,13,02199,1
20211206,13,03311,1
20211206,14,02111,1
20211206,14,02116,1
20211206,14,02122,1
20211206,14,02128,2
20211206,14,02139,1
20211206,14,02143,1
20211206,14,02159,1
20211206,14,02172,2
20211206,14,02178,4
20211206,14,02198,2
20211206,14,03311,2
20211206,15,02111,2
20211206,15,02112,3
20211206,15,02116,1
20211206,15,02128,6
20211206,15,02129,1
20211206,15,02139,2
20211206,15,02148,3
20211206,15,02159,2
20211206,15,02171,3
20211206,15,02178,1
20211206,15,02179,2
20211206,15,02186,1
20211206,15,02191,1
20211206,15,03311,1
20211206,16,02111,2
20211206,16,02112,2
20211206,16,02116,1
20211206,16,02122,1
20211206,16,02128,3
20211206,16,02148,1
20211206,16,02159,2
20211206,16,02171,4
20211206,16,02178,3
20211206,16,02179,1
20211206,16,02186,1
20211206,17,02111,1
20211206,17,02112,2
20211206,17,02116,1
20211206,17,02122,2
20211206,17,02128,2
20211206,17,02130,1
20211206,17,02143,1
20211206,17,02148,3
20211206,17,02171,1
20211206,17,02178,4
20211206,17,02179,2
20211206,17,02185,1
20211206,17,02186,2
20211206,17,02191,3
20211206,18,02112,2
20211206,18,02116,1
20211206,18,02122,1
20211206,18,02128,1
20211206,18,02139,3
20211206,18,02143,2
20211206,18,02148,2
20211206,18,02171,5
20211206,18,02178,3
20211206,18,02179,1
20211206,18,02185,1
20211206,18,02191,3
20211206,18,02198,1
20211206,18,02199,1
20211206,18,03311,4
20211206,18,03802,1
20211206,19,02111,2
20211206,19,02112,1
20211206,19,02116,3
20211206,19,02122,1
20211206,19,02128,2
20211206,19,02130,1
20211206,19,02139,1
20211206,19,02143,1
20211206,19,02148,2
20211206,19,02171,6
20211206,19,02172,1
20211206,19,02178,1
20211206,19,02179,4
20211206,19,02186,1
20211206,19,02191,1
20211206,19,02198,1
20211206,19,03311,2
20211206,19,03802,2
20211206,2,02112,1
20211206,2,02122,2
20211206,2,02139,1
20211206,20,02111,2
20211206,20,02112,1
20211206,20,02116,2
20211206,20,02122,1
20211206,20,02128,2
20211206,20,02139,2
20211206,20,02171,5
20211206,20,02178,1
20211206,20,02179,4
20211206,20,02186,2
20211206,20,02191,2
20211206,21,02111,4
20211206,21,02116,3
20211206,21,02122,3
20211206,21,02159,2
20211206,21,02171,7
20211206,21,02172,1
20211206,21,02185,1
20211206,21,02186,4
20211206,21,02198,1
20211206,21,03311,2
20211206,22,02111,1
20211206,22,02112,4
20211206,22,02116,2
20211206,22,02122,3
20211206,22,02129,2
20211206,22,02139,1
20211206,22,02171,1
20211206,22,02179,5
20211206,22,02185,1
20211206,22,02191,2
20211206,22,02198,1
20211206,22,02199,1
20211206,23,02111,2
20211206,23,02112,4
20211206,23,02116,2
20211206,23,02130,1
20211206,23,02172,2
20211206,23,02179,1
20211206,23,02185,1
20211206,23,02198,1
20211206,23,02199,1
20211206,3,02112,1
20211206,3,02122,2
20211206,3,02129,1
20211206,3,02148,1
20211206,3,02172,1
20211206,3,03311,1
20211206,4,02112,1
20211206,4,02148,1
20211206,5,02143,1
20211206,5,02159,1
20211206,5,02185,1
20211206,6,02139,1
20211206,7,02128,1
20211206,7,02148,1
20211206,7,02171,1
20211206,7,02185,1
20211206,7,02186,1
20211206,7,02191,5
20211206,8,02111,1
20211206,8,02112,2
20211206,8,02116,1
20211206,8,02128,2
20211206,8,02139,3
20211206,8,02143,1
20211206,8,02171,1
20211206,8,02178,1
20211206,8,02179,2
20211206,8,02185,1
20211206,8,02186,2
20211206,8,02191,2
20211206,9,02111,2
